hour,is_night,is_weekend,latitude_norm,longitude_norm,incident_history,population_density,lighting,danger_score
21.0,1.0,0.0,0.1260111111111111,0.4317655555555555,0.0,1.0,0.3,7.2
23.0,1.0,0.0,0.12602666666666668,0.4317838888888889,1.0,1.0,0.3,5.8
19.0,0.0,1.0,0.12597222222222224,0.43185,0.0,1.0,0.6,5.1
22.0,1.0,1.0,0.1257611111111111,0.43178888888888883,0.0,0.0,0.3,9.0
